nohup: ignoring input
 * Serving Flask app 'nifdu_api_www'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://100.115.92.203:5000
Press CTRL+C to quit
127.0.0.1 - - [10/May/2026 14:54:04] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 14:54:08] "GET /pulse HTTP/1.1" 401 -
127.0.0.1 - - [10/May/2026 14:54:54] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 14:57:10] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 14:57:46] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 15:04:15] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 15:04:55] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 15:06:08] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 15:10:22] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 15:54:11] "GET /pulse HTTP/1.1" 401 -
127.0.0.1 - - [10/May/2026 15:55:06] "GET /pulse HTTP/1.1" 401 -
127.0.0.1 - - [10/May/2026 15:55:33] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 15:55:46] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026 15:56:04] "GET /pulse HTTP/1.1" 200 -
127.0.0.1 - - [10/May/2026:15:58:36 +0500] "GET / HTTP/1.1" 401 60 "http://www.nifdu.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
127.0.0.1 - - [10/May/2026:15:59:15 +0500] "GET /pulse HTTP/1.1" 200 151 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:00:23 +0500] "GET /pulse HTTP/1.1" 200 151 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:04:53 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:05:43 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:07:41 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:09:00 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:11:58 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:12:49 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:22:10 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:27:18 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:28:09 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:28:15 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:52:18 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:16:54:28 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:21:11:56 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:21:20:48 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [10/May/2026:21:47:50 +0500] "GET /pulse HTTP/1.1" 200 150 "-" "curl/7.88.1"
127.0.0.1 - - [11/May/2026:11:42:51 +0500] "GET /pulse HTTP/1.1" 200 152 "-" "curl/7.88.1"
127.0.0.1 - - [11/May/2026:11:56:04 +0500] "GET /pulse HTTP/1.1" 200 149 "-" "curl/7.88.1"
127.0.0.1 - - [11/May/2026:12:08:44 +0500] "GET /pulse HTTP/1.1" 200 147 "-" "curl/7.88.1"
